id1,id2,filter_failed,reason,total_timestamps,passed_filter,final_pairs,min_speed_diff,max_speed_diff,mean_speed_diff,min_ttc,max_ttc_val,min_lateral_dist,max_lateral_dist
10287921,10288098,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,653,4,4.0,,,,,,,
10297104,10297121,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,148,1,1.0,,,,,,,
10300754,10300768,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),162,89,,-2.331448554992676,0.9842381477355957,-0.17103661596775055,,,,
10310953,10310999,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,178,18,18.0,,,,,,,
10316232,10316242,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),211,105,,-1.8029227256774902,0.4875984191894531,-0.030225399881601334,,,,
10357605,10357619,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),115,73,,-9.456415176391602,0.8429040908813477,-0.19476182758808136,,,,
10362698,10362702,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,261,1,1.0,,,,,,,
10375622,10375639,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,632,33,,,,,4.046658992767334,8.197759628295898,,
10381683,10381699,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,281,58,,,,,4.047464370727539,7.0345964431762695,,
10382068,10382093,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,479,63,,,,,3.3094353675842285,5.975760459899902,,
10386504,10386558,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,468,16,,,,,2.915364980697632,66.93617248535156,,
10420722,10420905,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,199,60,,,,,2.3806276321411133,4.238935947418213,,
10436299,10436497,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,105,45,,,,,2.5709047317504883,4.192516803741455,,
10439500,10439525,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,398,32,,,,,3.757697105407715,10.59987735748291,,
10447787,10447823,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,536,35,,,,,5.953427791595459,10.102277755737305,,
10451190,10451690,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,132,32,,,,,2.1217947006225586,11.996114730834961,,
10456879,10456930,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,627,30,,,,,3.2713911533355713,12.11447811126709,,
10458380,10458393,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),149,65,,-1.6853694915771484,0.7288398742675781,0.16149556636810303,,,,
10463291,10463317,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,188,87,,,,,2.584948778152466,31.264476776123047,,
10463317,10463342,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,191,76,,,,,4.904373645782471,21.516082763671875,,
10465575,10465595,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,622,46,,,,,4.842837810516357,20.82413673400879,,
10471010,10471031,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),174,38,,-1.4295259714126587,0.7320461273193359,-0.0022851794492453337,,,,
10487283,10487551,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,206,56,,,,,2.134105920791626,4.6905927658081055,,
10500402,10500583,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,275,26,,,,,3.6051812171936035,11.028179168701172,,
